 # MagPy ASCII
Time,"File",CountsBa[],CountsCs[],CountsBi1120[],CountsBi1764[],CountsAll[],CountsMCA(Bi1764)[],CountsSCA(Ch291)[],ChannelShift(Max_near_291)[]
2016-10-02 15:00:00,Spectral_409839.Chn,888910.516482,202597.875845,8766.93291712,8813.82067331,26396.6758242,759.167841375,566.237288136,6.33828996283
2016-10-02 16:00:00,Spectral_409840.Chn,883960.543641,202598.549563,8721.01419145,8738.17389619,26812.0110723,753.528673202,591.568965517,6.33828996283
2016-10-02 17:00:00,Spectral_409841.Chn,885922.137714,202081.919275,8819.55677152,8725.97881782,26094.6414634,737.445981652,582.610169492,6.20817843866
2016-10-02 18:00:00,Spectral_409842.Chn,882243.700747,202865.086852,8371.40507634,9000.52835808,27032.7853607,767.413730174,641.898305085,6.43494423792
2016-10-02 19:00:00,Spectral_409843.Chn,887687.444204,202422.128768,8462.16791216,8800.54153086,27879.8418803,752.3501302,547.245901639,6.43494423792
2016-10-02 20:00:00,Spectral_409844.Chn,881994.954282,202999.657092,8633.33786447,8927.99182689,27753.1504065,749.367906809,606.666666667,6.40148698885
2016-10-02 21:00:00,Spectral_409845.Chn,887689.648454,203570.119595,8910.09745646,8906.5004625,28571.4121212,756.447227359,571.2,6.43494423792
2016-10-02 22:00:00,Spectral_409846.Chn,885000.334856,203334.54952,8556.05379899,9041.86960799,27507.4961039,767.411404818,588.75,6.59851301115
2016-10-02 23:00:00,Spectral_409847.Chn,883139.257566,202429.87139,8792.53568191,8991.62872295,27068.6598555,758.165897489,612.032786885,6.63197026022
2016-10-03 00:00:00,Spectral_409848.Chn,888770.80111,202311.595716,8642.84588543,8813.43105412,25571.6770007,752.608981997,580.694915254,6.56505576208
2016-10-03 01:00:00,Spectral_409849.Chn,889479.399284,202267.392495,8676.33818852,8877.48578679,26502.1365854,762.053759038,573.137931034,6.66171003717
2016-10-03 02:00:00,Spectral_409850.Chn,886310.002467,202661.463321,8488.48885224,8766.81971864,26347.0979815,753.261194676,609.438596491,6.56505576208
2016-10-03 03:00:00,Spectral_409851.Chn,886211.388096,202201.999139,8785.4946172,8686.13509584,28208.8792102,743.245750099,578.464285714,6.69516728625
2016-10-03 04:00:00,Spectral_409852.Chn,884031.641291,201915.042689,8965.47830012,8953.64108916,26939.4587738,754.639607757,589.732142857,6.53159851301
2016-10-03 05:00:00,Spectral_409853.Chn,883568.258365,202594.22827,8781.0547663,8872.51246024,26966.2339181,764.9039644,563.475409836,6.66171003717
2016-10-03 06:00:00,Spectral_409854.Chn,881942.598129,202160.287078,8748.5844874,8741.5471576,26858.6463415,746.540104508,576.793103448,6.43494423792
2016-10-03 07:00:00,Spectral_409855.Chn,884924.281914,202788.110468,8747.36267689,8795.13483932,27364.5078947,752.874279082,580.866666667,6.33828996283
2016-10-03 08:00:00,Spectral_409856.Chn,882199.935078,203803.830128,8816.57093609,8593.73082811,27049.8,736.688810289,544.774193548,6.43494423792
2016-10-03 09:00:00,Spectral_409857.Chn,887137.673292,202735.503695,8295.76817491,8947.57865607,27039.4166667,766.424650818,639.068965517,6.43494423792
2016-10-03 10:00:00,Spectral_409858.Chn,890339.084038,202324.676429,8775.66967314,8795.43796639,27646.6012658,755.642467201,629.881355932,6.56505576208
2016-10-03 11:00:00,Spectral_409859.Chn,879623.483292,203068.203021,9027.19400634,8476.2436327,25634.8953488,728.449790031,547.0,6.46840148699
2016-10-03 12:00:00,Spectral_409860.Chn,885969.672346,202667.936201,8889.55374564,8830.12267971,26739.3203249,760.406197816,591.288135593,6.56505576208
2016-10-03 13:00:00,Spectral_409861.Chn,887249.28806,203259.727975,8563.0950254,8764.67781822,26077.9175824,751.555199921,600.85,6.66171003717
2016-10-03 14:00:00,Spectral_409862.Chn,887138.633864,203105.746531,8763.48556852,8715.17849105,26689.240566,745.839765787,576.155172414,6.69516728625
2016-10-03 15:00:00,Spectral_409863.Chn,883782.934884,202465.998881,8380.93418478,9021.66431515,27786.9,776.348657638,596.362068966,6.3717472119
2016-10-03 16:00:00,Spectral_409864.Chn,882565.929777,202265.982193,8691.09718167,8789.26736594,26854.4632867,746.448813319,553.06779661,6.30483271375
2016-10-03 17:00:00,Spectral_409865.Chn,885794.435365,203194.381203,8693.90912311,8697.2693902,25816.7265446,740.80591169,558.655172414,6.40148698885
